ID, lat, lng
301, 4.4426969112, 52.1558135142
302, 4.4473916490, 52.1594862677
303, 4.4510133038, 52.1637289311
304, 4.4612746593, 52.1701879113
305, 4.4675119538, 52.1696813246
306, 4.4701946611, 52.1729108147
307, 4.4777733092, 52.1777233882
308, 4.4849495513, 52.1774700949
309, 4.4942048915, 52.1751904548
310, 4.5050698561, 52.1836124584
311, 4.5178797835, 52.1728474914
312, 4.5160689561, 52.1596129143
313, 4.5029236903, 52.1355500469
314, 4.4875651909, 52.1276979534
315, 4.4814620318, 52.1243418166
316, 4.4671095477, 52.1427055838
317, 4.4584578166, 52.1479614207
318, 4.4520193191, 52.1423256438
319, 4.51948, 52.14607
320, 4.51234, 52.14305
321, 4.47152, 52.12601
